customer_id,name,email,region,signup_date
C0001,Bianca Clayton,knoxanthony@example.com,North,2023-01-19
C0002,Ricardo Pratt,denise37@example.org,East,2023-05-19
C0003,Kyle Mccoy,william04@example.com,West,2025-07-14
C0004,John Huff,jeffrey68@example.org,East,2024-01-25
C0005,Larry Noble,james84@example.org,East,2023-10-04
C0006,Tanner Miller,sydney22@example.org,West,2025-07-10
C0007,Nicole Fisher,peter68@example.org,North,2024-02-12
C0008,John Horne,susan40@example.net,South,2024-01-15
C0009,Robert Harrington,nelsondavid@example.com,South,2024-08-05
C0010,Nicholas Ayers,michael07@example.net,East,2025-03-06
C0011,Keith Joseph,sarah11@example.net,East,2023-08-06
C0012,Paul Silva,donaldperez@example.org,West,2024-03-10
C0013,Kirk Clark,michael53@example.org,East,2024-01-16
C0014,Anthony Gibson,michael45@example.org,South,2023-11-13
C0015,Eric Tran,michael32@example.net,South,2023-01-26
C0016,Kevin Buck,zachary79@example.org,North,2024-06-26
C0017,Scott Cox,vernonweber@example.com,East,2023-01-08
C0018,Curtis Garcia,tbecker@example.com,North,2024-07-16
C0019,Austin Sullivan,coopererin@example.com,East,2024-05-12
C0020,Angela Waller,imckee@example.org,East,2024-04-03
C0021,Kayla Adkins,louis83@example.net,North,2025-04-22
C0022,Charles Weeks,kristinhicks@example.net,West,2025-01-07
C0023,Olivia Nelson,yaguirre@example.org,West,2023-01-03
C0024,Jamie Noble,qrios@example.org,South,2024-04-13
C0025,Dale Bryan,cartermakayla@example.com,North,2025-04-07
C0026,William Roman,mathewlambert@example.org,East,2025-03-21
C0027,John Barber,eugene51@example.net,North,2025-01-11
C0028,Miranda Salas,paulnicholson@example.com,West,2022-09-30
C0029,Andrew Moore,angela07@example.net,North,2024-07-25
C0030,William Saunders,mary86@example.com,West,2025-04-17
C0031,Scott Reese,john09@example.com,South,2024-01-18
C0032,Paul Bennett,wyattjennifer@example.net,West,2023-03-07
C0033,Stanley Weber,judy64@example.org,North,2023-11-29
C0034,Paul Estrada,petersmeredith@example.com,West,2023-12-28
C0035,Christine Hunter,jessica13@example.net,East,2024-04-13
C0036,Elizabeth Craig,dalvarado@example.com,West,2024-02-21
C0037,Mrs. Courtney Newton,ashley47@example.org,South,2023-04-25
C0038,Amber Rush,chelsea91@example.org,North,2025-01-22
C0039,Jessica Vega,jeffrey40@example.org,West,2024-08-11
C0040,James Carter,debrarodriguez@example.net,North,2024-04-30
C0041,Sheila Brown,kristinvega@example.org,West,2023-01-30
C0042,Daniel Williams,john13@example.net,South,2023-03-20
C0043,Amanda Miller,rodriguezeric@example.com,South,2024-01-21
C0044,Ryan Suarez,brendaweaver@example.com,South,2025-07-28
C0045,Mary Cunningham,xburnett@example.org,East,2024-12-04
C0046,Laura Neal,dspencer@example.com,North,2023-08-01
C0047,Darrell Gray,benjamin17@example.net,East,2022-12-28
C0048,Christine Walker,anthonyrubio@example.net,West,2024-09-30
